lid,lat,lon,winds,windg,windd,temp,windchill,validtime
NPOL1,90.00,00.00,9999,9999,9999,9999,9999,00/00/0000 00:00:00
CHKN7,35.619722222222,-83.206944444444,2,9999,267,71,9999,2018-05-31 17:57:00
RUTN7,35.428611111111,-81.939444444444,3,9999,154,88,9999,2018-05-31 17:46:00
POPN7,36.073611111111,-82.206111111111,1,9999,112,77,9999,2018-05-31 17:45:00
CHDS1,33.6630555555556,-82.1897222222222,6,9999,358,80,9999,2018-05-31 17:10:00
TOSN7,35.536111111111,-83.285,1,9999,141,75,9999,2018-05-31 17:32:00
COWN7,35.479444444444,-83.327222222222,9999,9999,230,78,9999,2018-05-31 17:32:00
IGGT1,35.6236,-83.8083,1,9999,154,69,9999,2018-05-31 17:31:00
KNGS1,35.145555555556,-81.402222222222,3,9999,202,86,9999,2018-05-31 17:31:00
STCN7,36.07,-81.799166666667,4,9999,169,82,9999,2018-05-31 17:28:00
SVNS1,32.1,-81.08,7,9999,292,85,9999,2018-05-31 17:23:00
MERT1,35.504166666667,-87.457777777778,2,9999,3,88,9999,2018-05-31 17:22:00
DPGG1,33.647222222222,-83.294722222222,4,9999,92,82,9999,2018-05-31 17:19:00
CCKT1,35.3814,-84.1231,9999,9999,17,77,9999,2018-05-31 17:19:00
PIRW2,37.526388888889,-80.999166666667,4,9999,253,75,9999,2018-05-31 17:17:00
NCVN7,35.816666666667,-81.937222222222,2,9999,230,79,9999,2018-05-31 17:16:00
CGLN7,36.385555555556,-79.291944444444,5,9999,262,83,9999,2018-05-31 17:16:00
FCRT1,36.625555555556,-87.536944444444,6,9999,235,86,9999,2018-05-31 17:15:00
CMMG1,34.158333333333,-84.072222222222,2,9999,296,82,9999,2018-05-31 17:15:00
CUWN7,35.316666666667,-83.2,1,9999,340,79,9999,2018-05-31 17:10:00
FBGG1,32.396666666667,-84.87,2,9999,227,83,9999,2018-05-31 17:10:00
MTIN7,35.378888888889,-80.9925,5,9999,203,85,9999,2018-05-31 17:10:00
GUIN7,35.213333333333,-82.59,2,9999,120,80,9999,2018-05-31 17:10:00
RVZN7,36.2275,-81.2975,2,9999,198,76,9999,2018-05-31 17:10:00
MAHN7,35.803055555556,-82.650277777778,2,9999,221,83,9999,2018-05-31 17:08:00
CMDT1,36.066111111111,-88.168611111111,9,9999,233,90,9999,2018-05-31 17:07:00
CGVV2,37.522222222222,-80.079722222222,1,9999,207,79,9999,2018-05-31 17:07:00
SHOT1,35.155,-88.321666666667,4,9999,207,88,9999,2018-05-31 17:07:00
BRSG1,34.802777777778,-83.71,2,9999,334,75,9999,2018-05-31 17:06:00
CHGG1,34.640277777778,-83.521944444444,6,9999,195,83,9999,2018-05-31 17:06:00
WLHS1,34.811666666667,-83.125,9999,9999,187,84,9999,2018-05-31 17:06:00
TULG1,34.905833333333,-83.334444444444,4,9999,228,80,9999,2018-05-31 17:06:00
ONFG1,33.208333333333,-83.713611111111,4,9999,260,86,9999,2018-05-31 17:06:00
TOPN7,35.166666666667,-83.403055555556,2,9999,98,82,9999,2018-05-31 17:05:00
TCCG1,34.765,-84.0744444444444,6,9999,182,78,9999,2018-05-31 17:05:00
CHON7,35.333333333333,-83.816666666667,3,9999,280,80,9999,2018-05-31 17:05:00
BYRG1,32.168055555556,-83.974722222222,4,9999,226,85,9999,2018-05-31 17:05:00
CPMG1,34.63,-84.0975,4,9999,251,80,9999,2018-05-31 17:05:00
NAOG1,34.695277777778,-85.173611111111,7,9999,175,80,9999,2018-05-31 17:05:00
COHG1,34.9225,-84.659444444444,5,9999,254,79,9999,2018-05-31 17:05:00
BSKN7,35.752777777778,-82.183333333333,9999,9999,156,77,9999,2018-05-31 17:05:00
TSQN7,35.0747,-84.1267,4,9999,218,80,9999,2018-05-31 17:05:00
GDCN7,35.756388888889,-82.043888888889,1,9999,226,81,9999,2018-05-31 17:05:00
HGLN7,35.086111111111,-83.2175,2,9999,268,76,9999,2018-05-31 17:05:00
MDWG1,31.78,-81.44,3,9999,240,87,9999,2018-05-31 17:04:00
TAYN7,35.911666666667,-81.136666666667,3,9999,222,83,9999,2018-05-31 17:04:00
DARN7,35.350555555556,-82.778611111111,1,9999,111,77,9999,2018-05-31 17:04:00
LOUG1,32.975,-82.352777777778,3,9999,236,85,9999,2018-05-31 17:03:00
BOLG1,33.009722222222,-83.716388888889,9999,9999,239,84,9999,2018-05-31 17:03:00
MTFG1,32.3911111111111,-82.0372222222222,5,9999,289,85,9999,2018-05-31 17:03:00
MRAG1,32.096388888889,-82.884166666667,4,9999,177,86,9999,2018-05-31 17:03:00
PLAG1,32.110555555556,-84.184166666667,6,9999,277,84,9999,2018-05-31 17:03:00
HRDG1,33.010277777778,-83.207222222222,4,9999,319,86,9999,2018-05-31 17:03:00
WHIS1,34.616666666667,-81.583333333333,5,9999,285,82,9999,2018-05-31 17:03:00
AFRG1,33.896666666667,-83.365555555556,5,9999,253,83,9999,2018-05-31 17:02:00
NNAG1,33.365277777778,-84.859444444444,1,9999,251,85,9999,2018-05-31 17:02:00
DLSG1,33.942777777778,-84.791944444444,4,9999,276,83,9999,2018-05-31 17:02:00
DSVG1,34.3763888888889,-84.06,4,9999,226,82,9999,2018-05-31 17:02:00
EJAG1,34.758888888889,-84.766388888889,7,9999,207,81,9999,2018-05-31 17:02:00
WSNG1,33.7805555555556,-82.8161111111111,6,9999,286,83,9999,2018-05-31 17:02:00
LKRV2,37.986388888889,-79.759444444444,2,9999,208,77,9999,2018-05-31 17:01:00
